X,Y,month,day,wind,rain,area
7,5,mar,fri,6.7,0.0,0.0
7,4,oct,tue,0.9,0.0,0.0
7,4,oct,sat,1.3,0.0,0.0
8,6,mar,fri,4.0,0.2,0.0
8,6,mar,sun,1.8,0.0,0.0
8,6,aug,sun,5.4,0.0,0.0
8,6,aug,mon,3.1,0.0,0.0
8,6,aug,mon,2.2,0.0,0.0
8,6,sep,tue,5.4,0.0,0.0
7,5,sep,sat,4.0,0.0,0.0
7,5,sep,sat,7.2,0.0,0.0
7,5,sep,sat,4.0,0.0,0.0
6,5,aug,fri,6.7,0.0,0.0
6,5,sep,mon,2.2,0.0,0.0
6,5,sep,wed,4.5,0.0,0.0
6,5,sep,fri,5.4,0.0,0.0
5,5,mar,sat,5.4,0.0,0.0
8,5,oct,mon,4.9,0.0,0.0
6,4,mar,wed,4.0,0.0,0.0
6,4,apr,sat,4.5,0.0,0.0
6,4,sep,tue,2.7,0.0,0.0
5,4,sep,mon,2.7,0.0,0.0
7,4,jun,sun,4.5,0.0,0.0
7,4,aug,sat,5.8,0.0,0.0
7,4,aug,sat,5.8,0.0,0.0
7,4,aug,sun,5.4,0.0,0.0
7,4,sep,fri,5.8,0.0,0.0
7,4,sep,mon,1.3,0.0,0.0
6,3,sep,sat,2.7,0.0,0.0
6,3,sep,sun,3.6,0.0,0.0
6,3,sep,fri,3.6,0.0,0.0
6,3,sep,mon,7.6,0.0,0.0
6,3,sep,fri,1.8,0.0,0.0
6,3,sep,sun,3.6,0.0,0.0
6,3,sep,mon,2.7,0.0,0.0
6,3,sep,tue,4.5,0.0,0.0
6,3,oct,tue,4.5,0.0,0.0
7,4,oct,fri,5.4,0.0,0.0
7,3,oct,sat,4.0,0.0,0.0
4,4,mar,tue,2.7,0.0,0.0
4,4,jul,tue,3.1,0.0,0.0
4,4,aug,sat,6.7,0.0,0.0
4,4,aug,tue,5.4,0.0,0.0
4,4,sep,sat,2.7,0.0,0.0
4,4,sep,wed,4.9,0.0,0.0
