,zip,lat,lng,city,state_id,state_name,population,density,county_fips,county_name
0,601,18.180039999999998,-66.75218000000001,Adjuntas,PR,Puerto Rico,17242,111.4,72001,Adjuntas
1,602,18.36073,-67.17517,Aguada,PR,Puerto Rico,38442,523.5,72003,Aguada
2,603,18.45439,-67.12201999999999,Aguadilla,PR,Puerto Rico,48814,667.9,72005,Aguadilla
3,606,18.16724,-66.93828,Maricao,PR,Puerto Rico,6437,60.4,72093,Maricao
4,610,18.29032,-67.12243000000001,Anasco,PR,Puerto Rico,27073,312.0,72011,Añasco
5,612,18.40699,-66.70803000000001,Arecibo,PR,Puerto Rico,60303,382.8,72013,Arecibo
6,616,18.41753,-66.66814000000001,Bajadero,PR,Puerto Rico,10765,368.9,72013,Arecibo
7,617,18.44124,-66.55917,Barceloneta,PR,Puerto Rico,23974,625.0,72017,Barceloneta
8,622,17.99174,-67.15248000000001,Boqueron,PR,Puerto Rico,6578,104.6,72023,Cabo Rojo
9,623,18.08355,-67.15417,Cabo Rojo,PR,Puerto Rico,42427,437.8,72023,Cabo Rojo
10,624,18.06465,-66.71823,Penuelas,PR,Puerto Rico,22707,234.7,72111,Peñuelas
11,627,18.419,-66.86033,Camuy,PR,Puerto Rico,32222,292.8,72027,Camuy
12,631,18.18555,-66.83327,Castaner,PR,Puerto Rico,1568,177.8,72081,Lares
13,637,18.07982,-66.94274,Sabana Grande,PR,Puerto Rico,22975,283.4,72121,Sabana Grande
14,638,18.28904,-66.5151,Ciales,PR,Puerto Rico,16701,110.7,72039,Ciales
15,641,18.26408,-66.71376,Utuado,PR,Puerto Rico,27571,128.8,72141,Utuado
16,646,18.43401,-66.2833,Dorado,PR,Puerto Rico,37494,711.6,72051,Dorado
17,647,17.96612,-66.94383,Ensenada,PR,Puerto Rico,5643,156.7,72055,Guánica
18,650,18.34321,-66.58601,Florida,PR,Puerto Rico,14760,189.7,72054,Florida
19,652,18.45542,-66.60635,Garrochales,PR,Puerto Rico,3697,263.2,72013,Arecibo
20,653,17.98574,-66.89033,Guanica,PR,Puerto Rico,11140,337.1,72055,Guánica
21,656,18.0528,-66.79182,Guayanilla,PR,Puerto Rico,18979,255.9,72059,Guayanilla
22,659,18.41069,-66.79648,Hatillo,PR,Puerto Rico,40390,387.7,72065,Hatillo
23,660,18.134179999999997,-67.11402,Hormigueros,PR,Puerto Rico,16180,587.0,72067,Hormigueros
24,662,18.46208,-67.01445,Isabela,PR,Puerto Rico,40290,376.6,72071,Isabela
25,664,18.21152,-66.5889,Jayuya,PR,Puerto Rico,14991,142.4,72073,Jayuya
26,667,18.01227,-67.04089,Lajas,PR,Puerto Rico,23590,166.2,72079,Lajas
27,669,18.27102,-66.86981999999999,Lares,PR,Puerto Rico,25653,186.6,72081,Lares
28,670,18.23777,-66.98877,Las Marias,PR,Puerto Rico,8498,83.1,72083,Las Marías
29,674,18.421229999999998,-66.49004000000001,Manati,PR,Puerto Rico,39859,381.8,72091,Manatí
30,676,18.3779,-67.08083,Moca,PR,Puerto Rico,36995,308.6,72099,Moca
31,677,18.3357,-67.23168000000001,Rincon,PR,Puerto Rico,14311,411.2,72117,Rincón
32,678,18.43269,-66.92811999999999,Quebradillas,PR,Puerto Rico,26091,407.5,72115,Quebradillas
33,680,18.16327,-67.36195,Mayaguez,PR,Puerto Rico,46395,349.6,72097,Mayagüez
34,682,18.22117,-67.1538,Mayaguez,PR,Puerto Rico,32359,874.3,72097,Mayagüez
35,683,18.10998,-67.0373,San German,PR,Puerto Rico,30424,249.9,72125,San Germán
36,685,18.33625,-66.97225,San Sebastian,PR,Puerto Rico,38039,213.3,72131,San Sebastián
37,687,18.317079999999997,-66.4203,Morovis,PR,Puerto Rico,31320,323.9,72101,Morovis
38,688,18.38056,-66.62425,Sabana Hoyos,PR,Puerto Rico,12202,164.3,72013,Arecibo
39,690,18.49567,-67.09825,San Antonio,PR,Puerto Rico,5352,857.7,72005,Aguadilla
40,692,18.40845,-66.33691,Vega Alta,PR,Puerto Rico,35840,541.2,72143,Vega Alta
41,693,18.42132,-66.40012,Vega Baja,PR,Puerto Rico,54428,599.3,72145,Vega Baja
42,694,18.48329,-66.39260999999999,Vega Baja,PR,Puerto Rico,69,158.4,72145,Vega Baja
43,698,18.06728,-66.85273000000001,Yauco,PR,Puerto Rico,36312,231.7,72153,Yauco
44,703,18.24841,-66.13119,Aguas Buenas,PR,Puerto Rico,26320,372.2,72007,Aguas Buenas
45,704,17.96719,-66.22017,Aguirre,PR,Puerto Rico,8274,678.9,72123,Salinas
46,705,18.12946,-66.26477,Aibonito,PR,Puerto Rico,23176,309.3,72009,Aibonito
47,707,18.01814,-65.92201,Maunabo,PR,Puerto Rico,10964,224.1,72095,Maunabo
48,714,17.99854,-66.05606,Arroyo,PR,Puerto Rico,17998,516.8,72015,Arroyo
49,715,18.01172,-66.55985,Mercedita,PR,Puerto Rico,2972,179.4,72113,Ponce
50,716,17.9994,-66.60007,Ponce,PR,Puerto Rico,28089,1523.3,72113,Ponce
51,717,18.00333,-66.61331,Ponce,PR,Puerto Rico,16659,3390.6,72113,Ponce
52,718,18.2333,-65.76108,Naguabo,PR,Puerto Rico,25715,227.1,72103,Naguabo
53,719,18.2888,-66.25336,Naranjito,PR,Puerto Rico,29119,427.3,72105,Naranjito
54,720,18.21772,-66.42817,Orocovis,PR,Puerto Rico,21276,149.8,72107,Orocovis
55,723,18.03237,-66.01233,Patillas,PR,Puerto Rico,17393,161.2,72109,Patillas
56,725,18.21858,-66.04275,Caguas,PR,Puerto Rico,80555,817.3,72025,Caguas
57,727,18.21495,-66.07356,Caguas,PR,Puerto Rico,54823,1048.6,72025,Caguas
58,728,18.00627,-66.6612,Ponce,PR,Puerto Rico,39698,1108.2,72113,Ponce
59,729,18.331139999999998,-65.88722,Canovanas,PR,Puerto Rico,51593,611.1,72029,Canóvanas
60,730,18.030910000000002,-66.61659,Ponce,PR,Puerto Rico,31634,2118.2,72113,Ponce
61,731,18.09775,-66.63355,Ponce,PR,Puerto Rico,12722,125.6,72113,Ponce
62,735,18.25365,-65.68306,Ceiba,PR,Puerto Rico,12404,227.4,72037,Ceiba
63,736,18.10652,-66.15258,Cayey,PR,Puerto Rico,47411,361.1,72035,Cayey
64,738,18.318279999999998,-65.66785,Fajardo,PR,Puerto Rico,30376,457.4,72053,Fajardo
65,739,18.17681,-66.16055,Cidra,PR,Puerto Rico,36847,485.1,72041,Cidra
66,740,18.33221,-65.63431,Puerto Real,PR,Puerto Rico,1625,1876.9,72053,Fajardo
67,741,18.16564,-65.75563000000001,Punta Santiago,PR,Puerto Rico,4880,812.1,72069,Humacao
